"","trial","word","list","assessment","identification","id","gender"
"68","28","vacation","distract","correct","rejection","eamonn","m"
"69","29","package","read","correct","identification","eamonn","m"
"70","30","amount","silent","correct","identification","eamonn","m"
"71","31","ticket","read","correct","identification","eamonn","m"
"72","32","dinner","distract","correct","rejection","eamonn","m"
"73","33","merchant","distract","correct","rejection","eamonn","m"
"74","34","century","silent","correct","identification","eamonn","m"
"75","35","invention","silent","correct","identification","eamonn","m"
"76","36","station","silent","correct","identification","eamonn","m"
"77","37","judge","read","correct","identification","eamonn","m"
"78","38","leather","silent","correct","identification","eamonn","m"
"79","39","entrance","distract","correct","rejection","eamonn","m"
"80","40","factory","silent","correct","identification","eamonn","m"
"81","1","resort","distract","correct","rejection","kath","f"
"82","2","debate","read","correct","identification","kath","f"
"83","3","trousers","read","correct","identification","kath","f"
"84","4","market","distract","correct","rejection","kath","f"
"85","5","foundation","distract","correct","rejection","kath","f"
"86","6","direction","silent","correct","identification","kath","f"
"87","7","theatre","silent","correct","identification","kath","f"
"88","8","ocean","read","correct","identification","kath","f"
"89","9","merchant","distract","correct","rejection","kath","f"
"90","10","stream","distract","correct","rejection","kath","f"
"91","11","ticket","read","correct","identification","kath","f"
"92","12","leather","silent","correct","identification","kath","f"
"93","13","school","distract","correct","rejection","kath","f"
"94","14","garden","distract","correct","rejection","kath","f"
"95","15","winter","distract","correct","rejection","kath","f"
"96","16","vacation","distract","correct","rejection","kath","f"
"97","17","shoulder","read","correct","identification","kath","f"
"98","18","capital","distract","correct","rejection","kath","f"
"99","19","entrance","distract","correct","rejection","kath","f"
"100","20","lesson","silent","correct","identification","kath","f"
"101","21","powder","read","correct","identification","kath","f"
"102","22","queen","distract","correct","rejection","kath","f"
"103","23","partner","distract","correct","rejection","kath","f"
"104","24","village","silent","correct","identification","kath","f"
"105","25","factory","silent","correct","identification","kath","f"
"106","26","invention","silent","false","rejection","kath","f"
"107","27","record","silent","correct","identification","kath","f"
"108","28","dinner","distract","correct","rejection","kath","f"
"109","29","industry","distract","correct","rejection","kath","f"
"110","30","uniform","read","correct","identification","kath","f"
"111","31","glass","distract","correct","rejection","kath","f"
"112","32","laugh","distract","correct","rejection","kath","f"
"113","33","beauty","distract","correct","rejection","kath","f"
"114","34","kettle","distract","correct","rejection","kath","f"
"115","35","forest","silent","correct","identification","kath","f"
"116","36","teacher","read","correct","identification","kath","f"
"117","37","answer","read","correct","identification","kath","f"
"118","38","package","read","correct","identification","kath","f"
"119","39","pocket","silent","correct","identification","kath","f"
"120","40","clothes","distract","correct","rejection","kath","f"
"121","1","resort","distract","correct","rejection","ktk","f"
"122","2","trousers","read","correct","identification","ktk","f"
"123","3","lesson","silent","correct","identification","ktk","f"
"124","4","market","distract","correct","rejection","ktk","f"
"125","5","teacher","read","correct","identification","ktk","f"
"126","6","garden","distract","correct","rejection","ktk","f"
"127","7","queen","distract","correct","rejection","ktk","f"
"128","8","afternoon","read","correct","identification","ktk","f"
"129","9","record","silent","false","rejection","ktk","f"
"130","10","dinner","distract","false","identification","ktk","f"
"131","11","foundation","distract","correct","rejection","ktk","f"
"132","12","shoulder","read","correct","identification","ktk","f"
"133","13","minute","silent","false","rejection","ktk","f"
"134","14","school","distract","false","identification","ktk","f"
"135","15","amount","silent","correct","identification","ktk","f"
"136","16","laugh","distract","correct","rejection","ktk","f"
"137","17","partner","distract","false","identification","ktk","f"
"138","18","entrance","distract","correct","rejection","ktk","f"
"139","19","powder","read","correct","identification","ktk","f"
"140","20","village","silent","correct","identification","ktk","f"
"141","21","wagon","silent","correct","identification","ktk","f"
"142","22","clothes","distract","correct","rejection","ktk","f"
"143","23","captain","read","correct","identification","ktk","f"
"144","24","beauty","distract","correct","rejection","ktk","f"
"145","25","glass","distract","false","identification","ktk","f"
"146","26","kettle","distract","false","identification","ktk","f"
"147","27","stream","distract","correct","rejection","ktk","f"
"148","28","leather","silent","correct","identification","ktk","f"
"149","29","judge","read","correct","identification","ktk","f"
"150","30","merchant","distract","correct","rejection","ktk","f"
"151","31","branch","silent","correct","identification","ktk","f"
"152","32","vacation","distract","false","identification","ktk","f"
"153","33","winter","distract","correct","rejection","ktk","f"
"154","34","direction","silent","false","rejection","ktk","f"
"155","35","invention","silent","correct","identification","ktk","f"
"156","36","debate","read","false","rejection","ktk","f"
"157","37","wheel","read","correct","identification","ktk","f"
"158","38","capital","distract","false","identification","ktk","f"
"159","39","address","read","false","rejection","ktk","f"
"160","40","industry","distract","correct","rejection","ktk","f"
"161","1","record","silent","correct","identification","LL","f"
"162","2","quarrel","read","correct","identification","LL","f"
"163","3","station","silent","false","rejection","LL","f"
"164","4","clothes","distract","correct","rejection","LL","f"
"165","5","capital","distract","correct","rejection","LL","f"
"166","6","partner","distract","correct","rejection","LL","f"
"167","7","education","silent","correct","identification","LL","f"
"168","8","merchant","distract","correct","rejection","LL","f"
"169","9","forest","silent","correct","identification","LL","f"
"170","10","address","read","correct","identification","LL","f"
"171","11","victory","read","false","rejection","LL","f"
"172","12","shoulder","read","correct","identification","LL","f"
"173","13","market","distract","correct","rejection","LL","f"
"174","14","queen","distract","correct","rejection","LL","f"
"175","15","amount","silent","correct","identification","LL","f"
"176","16","kettle","distract","correct","rejection","LL","f"
"177","17","resort","distract","correct","rejection","LL","f"
"178","18","entrance","distract","correct","rejection","LL","f"
"179","19","package","read","correct","identification","LL","f"
"180","20","century","silent","false","rejection","LL","f"
"181","21","theatre","silent","false","rejection","LL","f"
"182","22","garden","distract","false","identification","LL","f"
"183","23","powder","read","correct","identification","LL","f"
"184","24","dinner","distract","correct","rejection","LL","f"
"185","25","judge","read","false","rejection","LL","f"
"186","26","debate","read","correct","identification","LL","f"
"187","27","direction","silent","false","rejection","LL","f"
"188","28","vacation","distract","correct","rejection","LL","f"
"189","29","ticket","read","correct","identification","LL","f"
"190","30","glass","distract","correct","rejection","LL","f"
"191","31","winter","distract","correct","rejection","LL","f"
"192","32","beauty","distract","correct","rejection","LL","f"
"193","33","laugh","distract","correct","rejection","LL","f"
"194","34","pocket","silent","false","rejection","LL","f"
"195","35","industry","distract","correct","rejection","LL","f"
"196","36","school","distract","correct","rejection","LL","f"
"197","37","foundation","distract","correct","rejection","LL","f"
"198","38","stream","distract","correct","rejection","LL","f"
"199","39","furniture","read","correct","identification","LL","f"
"200","40","leather","silent","correct","identification","LL","f"
"201","1","ticket","read","correct","identification","LordJujube","f"
"202","2","shoulder","read","correct","identification","LordJujube","f"
"203","3","minute","silent","correct","identification","LordJujube","f"
"204","4","account","read","correct","identification","LordJujube","f"
"205","5","foundation","distract","correct","rejection","LordJujube","f"
"206","6","garden","distract","correct","rejection","LordJujube","f"
"207","7","winter","distract","correct","rejection","LordJujube","f"
"208","8","wagon","silent","correct","identification","LordJujube","f"
"209","9","merchant","distract","correct","rejection","LordJujube","f"
"210","10","education","silent","false","rejection","LordJujube","f"
"211","11","package","read","false","rejection","LordJujube","f"
"212","12","machine","silent","false","rejection","LordJujube","f"
"213","13","furniture","read","correct","identification","LordJujube","f"
"214","14","election","read","false","rejection","LordJujube","f"
"215","15","laugh","distract","correct","rejection","LordJujube","f"
"216","16","partner","distract","correct","rejection","LordJujube","f"
"217","17","clothes","distract","correct","rejection","LordJujube","f"
"218","18","industry","distract","correct","rejection","LordJujube","f"
"219","19","capital","distract","correct","rejection","LordJujube","f"
"220","20","theatre","silent","correct","identification","LordJujube","f"
"221","21","address","read","correct","identification","LordJujube","f"
"222","22","dinner","distract","correct","rejection","LordJujube","f"
"223","23","century","silent","false","rejection","LordJujube","f"
"224","24","stream","distract","false","identification","LordJujube","f"
"225","25","branch","silent","false","rejection","LordJujube","f"
"226","26","village","silent","false","rejection","LordJujube","f"
"227","27","history","silent","false","rejection","LordJujube","f"
"228","28","forest","silent","correct","identification","LordJujube","f"
"229","29","ocean","read","correct","identification","LordJujube","f"
"230","30","beauty","distract","correct","rejection","LordJujube","f"
"231","31","school","distract","correct","rejection","LordJujube","f"
"232","32","answer","read","false","rejection","LordJujube","f"
"233","33","entrance","distract","correct","rejection","LordJujube","f"
"234","34","queen","distract","correct","rejection","LordJujube","f"
"235","35","kettle","distract","correct","rejection","LordJujube","f"
"236","36","vacation","distract","correct","rejection","LordJujube","f"
"237","37","powder","read","correct","identification","LordJujube","f"
"238","38","resort","distract","correct","rejection","LordJujube","f"
"239","39","market","distract","correct","rejection","LordJujube","f"
"240","40","glass","distract","correct","rejection","LordJujube","f"
"241","1","election","read","correct","identification","Loubnaa","f"
"242","2","queen","distract","correct","rejection","Loubnaa","f"
"243","3","stream","distract","correct","rejection","Loubnaa","f"
"244","4","capital","distract","correct","rejection","Loubnaa","f"
"245","5","amount","silent","correct","identification","Loubnaa","f"
"246","6","glass","distract","correct","rejection","Loubnaa","f"
"247","7","wagon","silent","false","rejection","Loubnaa","f"
"248","8","vacation","distract","correct","rejection","Loubnaa","f"
"249","9","judge","read","correct","identification","Loubnaa","f"
"250","10","shoulder","read","correct","identification","Loubnaa","f"
"251","11","quarrel","read","correct","identification","Loubnaa","f"
"252","12","school","distract","false","identification","Loubnaa","f"
"253","13","partner","distract","correct","rejection","Loubnaa","f"
"254","14","beauty","distract","correct","rejection","Loubnaa","f"
"255","15","debate","read","correct","identification","Loubnaa","f"
"256","16","resort","distract","correct","rejection","Loubnaa","f"
"257","17","afternoon","read","correct","identification","Loubnaa","f"
"258","18","ocean","read","correct","identification","Loubnaa","f"
"259","19","dinner","distract","false","identification","Loubnaa","f"
"260","20","market","distract","false","identification","Loubnaa","f"
"261","21","entrance","distract","correct","rejection","Loubnaa","f"
"262","22","industry","distract","false","identification","Loubnaa","f"
"263","23","garden","distract","correct","rejection","Loubnaa","f"
"264","24","village","silent","correct","identification","Loubnaa","f"
"265","25","century","silent","correct","identification","Loubnaa","f"
"266","26","branch","silent","false","rejection","Loubnaa","f"
"267","27","foundation","distract","false","identification","Loubnaa","f"
"268","28","forest","silent","false","rejection","Loubnaa","f"
"269","29","captain","read","false","rejection","Loubnaa","f"
"270","30","account","read","correct","identification","Loubnaa","f"
"271","31","machine","silent","false","rejection","Loubnaa","f"
"272","32","traffic","silent","false","rejection","Loubnaa","f"
"273","33","winter","distract","correct","rejection","Loubnaa","f"
"274","34","clothes","distract","correct","rejection","Loubnaa","f"
"275","35","direction","silent","false","rejection","Loubnaa","f"
"276","36","merchant","distract","correct","rejection","Loubnaa","f"
"277","37","laugh","distract","correct","rejection","Loubnaa","f"
"278","38","invention","silent","false","rejection","Loubnaa","f"
"279","39","kettle","distract","correct","rejection","Loubnaa","f"
"280","40","ticket","read","correct","identification","Loubnaa","f"
"281","1","wagon","silent","correct","identification","martin","na"
"282","2","answer","read","correct","identification","martin","na"
"283","3","kettle","distract","correct","rejection","martin","na"
"284","4","factory","silent","correct","identification","martin","na"
"285","5","ocean","read","correct","identification","martin","na"
"286","6","teacher","read","correct","identification","martin","na"
"287","7","glass","distract","correct","rejection","martin","na"
"288","8","industry","distract","correct","rejection","martin","na"
"289","9","resort","distract","correct","rejection","martin","na"
"290","10","uniform","read","correct","identification","martin","na"
"291","11","judge","read","correct","identification","martin","na"
"292","12","vacation","distract","correct","rejection","martin","na"
"293","13","lesson","silent","false","rejection","martin","na"
"294","14","afternoon","read","correct","identification","martin","na"
"295","15","beauty","distract","correct","rejection","martin","na"
"296","16","captain","read","correct","identification","martin","na"
"297","17","account","read","correct","identification","martin","na"
"298","18","market","distract","correct","rejection","martin","na"
"299","19","education","silent","correct","identification","martin","na"
"300","20","dinner","distract","correct","rejection","martin","na"
"301","21","traffic","silent","correct","identification","martin","na"
"302","22","debate","read","correct","identification","martin","na"
"303","23","school","distract","false","identification","martin","na"
"304","24","foundation","distract","correct","rejection","martin","na"
"305","25","stream","distract","correct","rejection","martin","na"
"306","26","clothes","distract","correct","rejection","martin","na"
"307","27","forest","silent","correct","identification","martin","na"
"308","28","laugh","distract","correct","rejection","martin","na"
"309","29","partner","distract","correct","rejection","martin","na"
"310","30","winter","distract","correct","rejection","martin","na"
"311","31","leather","silent","correct","identification","martin","na"
"312","32","station","silent","false","rejection","martin","na"
"313","33","garden","distract","correct","rejection","martin","na"
"314","34","queen","distract","correct","rejection","martin","na"
"315","35","merchant","distract","correct","rejection","martin","na"
"316","36","entrance","distract","correct","rejection","martin","na"
"317","37","furniture","read","correct","identification","martin","na"
"318","38","minute","silent","correct","identification","martin","na"
"319","39","theatre","silent","false","rejection","martin","na"
"320","40","capital","distract","correct","rejection","martin","na"
"321","1","school","distract","correct","rejection","shameem","m"
"322","2","afternoon","read","correct","identification","shameem","m"
"323","3","teacher","read","correct","identification","shameem","m"
"324","4","stream","distract","correct","rejection","shameem","m"
"325","5","wheel","read","correct","identification","shameem","m"
"326","6","trousers","read","correct","identification","shameem","m"
"327","7","glass","distract","correct","rejection","shameem","m"
"328","8","dinner","distract","correct","rejection","shameem","m"
"329","9","leather","silent","correct","identification","shameem","m"
"330","10","vacation","distract","correct","rejection","shameem","m"
"331","11","winter","distract","correct","rejection","shameem","m"
"332","12","powder","read","correct","identification","shameem","m"
"333","13","partner","distract","correct","rejection","shameem","m"
"334","14","laugh","distract","false","identification","shameem","m"
"335","15","queen","distract","correct","rejection","shameem","m"
"336","16","merchant","distract","correct","rejection","shameem","m"
"337","17","kettle","distract","correct","rejection","shameem","m"
"338","18","machine","silent","false","rejection","shameem","m"
"339","19","entrance","distract","correct","rejection","shameem","m"
"340","20","furniture","read","correct","identification","shameem","m"
"341","21","clothes","distract","false","identification","shameem","m"
"342","22","resort","distract","correct","rejection","shameem","m"
"343","23","industry","distract","correct","rejection","shameem","m"
"344","24","market","distract","false","identification","shameem","m"
"345","25","branch","silent","false","rejection","shameem","m"
"346","26","traffic","silent","correct","identification","shameem","m"
"347","27","minute","silent","false","rejection","shameem","m"
"348","28","education","silent","false","rejection","shameem","m"
"349","29","station","silent","false","rejection","shameem","m"
"350","30","record","silent","correct","identification","shameem","m"
"351","31","pocket","silent","false","rejection","shameem","m"
"352","32","beauty","distract","correct","rejection","shameem","m"
"353","33","wagon","silent","false","rejection","shameem","m"
"354","34","foundation","distract","correct","rejection","shameem","m"
"355","35","uniform","read","correct","identification","shameem","m"
"356","36","shoulder","read","correct","identification","shameem","m"
"357","37","capital","distract","correct","rejection","shameem","m"
"358","38","debate","read","correct","identification","shameem","m"
"359","39","garden","distract","correct","rejection","shameem","m"
"360","40","victory","read","correct","identification","shameem","m"
"361","1","election","read","correct","identification","sm","na"
"362","2","foundation","distract","correct","rejection","sm","na"
"363","3","garden","distract","correct","rejection","sm","na"
"364","4","answer","read","correct","identification","sm","na"
"365","5","amount","silent","correct","identification","sm","na"
"366","6","winter","distract","correct","rejection","sm","na"
"367","7","teacher","read","correct","identification","sm","na"
"368","8","beauty","distract","correct","rejection","sm","na"
"369","9","account","read","correct","identification","sm","na"
"370","10","glass","distract","correct","rejection","sm","na"
"371","11","stream","distract","correct","rejection","sm","na"
"372","12","laugh","distract","correct","rejection","sm","na"
"373","13","address","read","correct","identification","sm","na"
"374","14","entrance","distract","correct","rejection","sm","na"
"375","15","clothes","distract","correct","rejection","sm","na"
"376","16","queen","distract","correct","rejection","sm","na"
"377","17","uniform","read","correct","identification","sm","na"
"378","18","vacation","distract","false","identification","sm","na"
"379","19","dinner","distract","correct","rejection","sm","na"
"380","20","minute","silent","false","rejection","sm","na"
"381","21","industry","distract","correct","rejection","sm","na"
"382","22","education","silent","correct","identification","sm","na"
"383","23","resort","distract","false","identification","sm","na"
"384","24","capital","distract","correct","rejection","sm","na"
"385","25","partner","distract","false","identification","sm","na"
"386","26","market","distract","correct","rejection","sm","na"
"387","27","branch","silent","correct","identification","sm","na"
"388","28","package","read","correct","identification","sm","na"
"389","29","merchant","distract","false","identification","sm","na"
"390","30","village","silent","correct","identification","sm","na"
"391","31","shoulder","read","correct","identification","sm","na"
"392","32","leather","silent","false","rejection","sm","na"
"393","33","direction","silent","correct","identification","sm","na"
"394","34","kettle","distract","correct","rejection","sm","na"
"395","35","ticket","read","correct","identification","sm","na"
"396","36","powder","read","correct","identification","sm","na"
"397","37","station","silent","correct","identification","sm","na"
"398","38","wagon","silent","correct","identification","sm","na"
"399","39","school","distract","correct","rejection","sm","na"
"400","40","theatre","silent","false","rejection","sm","na"
"401","1","beauty","distract","correct","rejection","tenaaz","f"
"402","2","pocket","silent","correct","identification","tenaaz","f"
"403","3","traffic","silent","correct","identification","tenaaz","f"
"404","4","merchant","distract","correct","rejection","tenaaz","f"
"405","5","trousers","read","correct","identification","tenaaz","f"
"406","6","capital","distract","correct","rejection","tenaaz","f"
"407","7","address","read","correct","identification","tenaaz","f"
"408","8","clothes","distract","correct","rejection","tenaaz","f"
"409","9","quarrel","read","correct","identification","tenaaz","f"
"410","10","answer","read","correct","identification","tenaaz","f"
"411","11","garden","distract","correct","rejection","tenaaz","f"
"412","12","wagon","silent","false","rejection","tenaaz","f"
"413","13","wheel","read","false","rejection","tenaaz","f"
"414","14","entrance","distract","correct","rejection","tenaaz","f"
"415","15","lesson","silent","correct","identification","tenaaz","f"
"416","16","dinner","distract","correct","rejection","tenaaz","f"
"417","17","record","silent","correct","identification","tenaaz","f"
"418","18","kettle","distract","correct","rejection","tenaaz","f"
"419","19","village","silent","correct","identification","tenaaz","f"
"420","20","amount","silent","correct","identification","tenaaz","f"
"421","21","winter","distract","false","identification","tenaaz","f"
"422","22","glass","distract","false","identification","tenaaz","f"
"423","23","resort","distract","correct","rejection","tenaaz","f"
"424","24","market","distract","false","identification","tenaaz","f"
"425","25","laugh","distract","correct","rejection","tenaaz","f"
"426","26","victory","read","correct","identification","tenaaz","f"
"427","27","afternoon","read","correct","identification","tenaaz","f"
"428","28","election","read","correct","identification","tenaaz","f"
"429","29","stream","distract","correct","rejection","tenaaz","f"
"430","30","queen","distract","correct","rejection","tenaaz","f"
"431","31","foundation","distract","false","identification","tenaaz","f"
"432","32","school","distract","correct","rejection","tenaaz","f"
"433","33","education","silent","correct","identification","tenaaz","f"
"434","34","partner","distract","false","identification","tenaaz","f"
"435","35","furniture","read","correct","identification","tenaaz","f"
"436","36","direction","silent","correct","identification","tenaaz","f"
"437","37","factory","silent","correct","identification","tenaaz","f"
"438","38","vacation","distract","correct","rejection","tenaaz","f"
"439","39","industry","distract","correct","rejection","tenaaz","f"
"440","40","package","read","correct","identification","tenaaz","f"
"441","1","furniture","read","correct","identification","Yumika","f"
"442","2","village","silent","correct","identification","Yumika","f"
"443","3","winter","distract","correct","rejection","Yumika","f"
"444","4","station","silent","correct","identification","Yumika","f"
"445","5","kettle","distract","correct","rejection","Yumika","f"
"446","6","branch","silent","false","rejection","Yumika","f"
"447","7","pocket","silent","correct","identification","Yumika","f"
"448","8","glass","distract","correct","rejection","Yumika","f"
"449","9","factory","silent","correct","identification","Yumika","f"
"450","10","election","read","correct","identification","Yumika","f"
"451","11","vacation","distract","correct","rejection","Yumika","f"
"452","12","industry","distract","correct","rejection","Yumika","f"
"453","13","captain","read","correct","identification","Yumika","f"
"454","14","stream","distract","correct","rejection","Yumika","f"
"455","15","teacher","read","correct","identification","Yumika","f"
"456","16","entrance","distract","correct","rejection","Yumika","f"
"457","17","resort","distract","correct","rejection","Yumika","f"
"458","18","capital","distract","correct","rejection","Yumika","f"
"459","19","partner","distract","correct","rejection","Yumika","f"
"460","20","market","distract","correct","rejection","Yumika","f"
"461","21","machine","silent","false","rejection","Yumika","f"
"462","22","merchant","distract","correct","rejection","Yumika","f"
"463","23","queen","distract","correct","rejection","Yumika","f"
"464","24","wagon","silent","false","rejection","Yumika","f"
"465","25","ticket","read","correct","identification","Yumika","f"
"466","26","dinner","distract","correct","rejection","Yumika","f"
"467","27","traffic","silent","correct","identification","Yumika","f"
"468","28","beauty","distract","correct","rejection","Yumika","f"
"469","29","garden","distract","correct","rejection","Yumika","f"
"470","30","address","read","correct","identification","Yumika","f"
"471","31","century","silent","false","rejection","Yumika","f"
"472","32","debate","read","correct","identification","Yumika","f"
"473","33","theatre","silent","false","rejection","Yumika","f"
"474","34","clothes","distract","false","identification","Yumika","f"
"475","35","uniform","read","false","rejection","Yumika","f"
"476","36","quarrel","read","correct","identification","Yumika","f"
"477","37","trousers","read","correct","identification","Yumika","f"
"478","38","laugh","distract","correct","rejection","Yumika","f"
"479","39","school","distract","correct","rejection","Yumika","f"
"480","40","foundation","distract","correct","rejection","Yumika","f"
